id,url,time,is_retweet,is_quoted,is_reply,reply_to,text,hashtag,mention,is_video,video_thumb,video_url,media_count,media,media1,media2,media3,media4,link_quoted,username_quoted,media_quoted,media_quoted1,media_quoted2,media_quoted3,media_quoted4,hashtag_quoted,mention_quoted,links_quoted,text_quoted,reply_count,rt_count,love_count
478598281082048512,https://twitter.com/Cindvia_JKT48/status/478598281082048512,1:01 AM - 17 Jun 2014,false,false,false,,"@RChikanoJKT48  いっしょにがんばりましょう！( ^_^)/~~~",,"RChikanoJKT48",false,,,,,,,,,,,,,,,,,,,,16,69,41
478585773520732160,https://twitter.com/Cindvia_JKT48/status/478585773520732160,12:11 AM - 17 Jun 2014,false,false,false,,"yeaaay thankyou for todaaaay~ hari ini tiketnya terjual 1000 terimakasih atas dukungan kalian semua! happyhappy~~~ terimakasih banyak ya ^^",,,false,,,,,,,,,,,,,,,,,,,,106,264,95
478430899957035008,https://twitter.com/Cindvia_JKT48/status/478430899957035008,1:56 PM - 16 Jun 2014,false,false,false,,"ahahhaa maaf deh kalau gak ada yang nanyaaaa~ aku kan cuman bercandaaa uuuuuu ._.",,,false,,,,,,,,,,,,,,,,,,,,133,201,101
478429197275103232,https://twitter.com/Cindvia_JKT48/status/478429197275103232,1:49 PM - 16 Jun 2014,false,false,true,"S_GraciaJKT48","@S_GraciaJKT48  kalau aku sukanya pink (?) hahahhaa :p",,"S_GraciaJKT48",false,,,,,,,,,,,,,,,,,,,,45,76,40
478422154904473600,https://twitter.com/Cindvia_JKT48/status/478422154904473600,1:21 PM - 16 Jun 2014,false,false,false,,"yeaaay! ",,,false,,,,,,,,,,,,,,,,,,,,33,163,102
478343067104071680,https://twitter.com/Cindvia_JKT48/status/478343067104071680,8:07 AM - 16 Jun 2014,false,false,false,,"iyaaa hoaaahm >.< sebenernya tweet ini di tweet sambil bobo hehehehehehehhehe  😝 😝 😝",,,false,,,,,,,,,,,,,,,,,,,,200,230,126
478342082243743744,https://twitter.com/Cindvia_JKT48/status/478342082243743744,8:03 AM - 16 Jun 2014,false,false,false,,"pagipagipagi~ udah bangun kannn? xD",,,false,,,,,,,,,,,,,,,,,,,,188,223,110
478126344111263744,https://twitter.com/Cindvia_JKT48/status/478126344111263744,5:46 PM - 15 Jun 2014,false,false,false,,"hahhaha, sebenernya foto tadi udah lama banget ada... dari zaman pajama drive dulu kayaknya :3 makasih yang udah bikin~ xD",,,false,,,,,,,,,,,,,,,,,,,,89,197,97
478126024215904257,https://twitter.com/Cindvia_JKT48/status/478126024215904257,5:45 PM - 15 Jun 2014,false,false,false,,"btw, udah ibadah hari minggu belum??? :3 jangan lupa berdoa dan bersyukur hari ini~~~ semangat!! >.<",,,false,,,,,,,,,,,,,,,,,,,,65,205,92
478125720896421888,https://twitter.com/Cindvia_JKT48/status/478125720896421888,5:43 PM - 15 Jun 2014,false,false,false,,"hai ( ^_^)/~~~ hmm, lagi apa nih? yupi bilang ini nihhh~ hahaha :p kalian udah mam? :3 hayoo di tanyain tuh (?)",,,false,,,1,"https://pbs.twimg.com/media/BqKkz05CYAAHBMn.jpg","https://pbs.twimg.com/media/BqKkz05CYAAHBMn.jpg",,,,,,,,,,,,,,,228,361,190
477949365521100800,https://twitter.com/Cindvia_JKT48/status/477949365521100800,6:03 AM - 15 Jun 2014,false,false,false,,"btw, have a nice daaay! selamat beraktivitas ^.^",,,false,,,,,,,,,,,,,,,,,,,,137,337,117
477949232393879552,https://twitter.com/Cindvia_JKT48/status/477949232393879552,6:02 AM - 15 Jun 2014,false,false,false,,"wah bandel banget ada yang belum bobo karena nonton bola .____. uuuuuuuuuu! ><",,,false,,,,,,,,,,,,,,,,,,,,193,291,109
477948834241196032,https://twitter.com/Cindvia_JKT48/status/477948834241196032,6:00 AM - 15 Jun 2014,false,false,false,,"good morning! whoopppssss ayo bangunnnnn~ :p ahahha kepagian ya ._. pagipagi :3",,,false,,,,,,,,,,,,,,,,,,,,150,284,110
477858832106782721,https://twitter.com/Cindvia_JKT48/status/477858832106782721,12:03 AM - 15 Jun 2014,false,false,false,,"aku bobo dulu ya semuanya juga bobo hayooo :3 jangan bandell... selamat bobo ^_^ jangan lupa berdoa sebelum bobo :3",,,false,,,,,,,,,,,,,,,,,,,,168,259,108
477858529596817408,https://twitter.com/Cindvia_JKT48/status/477858529596817408,12:02 AM - 15 Jun 2014,false,false,false,,"malam? udah bobo yaaaaaa ._.",,,false,,,,,,,,,,,,,,,,,,,,157,162,94
477716776763924481,https://twitter.com/Cindvia_JKT48/status/477716776763924481,2:38 PM - 14 Jun 2014,false,false,false,,"yeyeyyeyeeyyeyeyeyeyeyeye (?) abcdefghijklmnopqrstuvwxyz...",,,false,,,,,,,,,,,,,,,,,,,,225,228,99
477715857808695296,https://twitter.com/Cindvia_JKT48/status/477715857808695296,2:35 PM - 14 Jun 2014,false,false,false,,"waaa kalau aku belum lulus lulusan ._. hehehe... lulus di hati kamu aja deh (?) huft~~~ :p hahaha bercanda kokk xD",,,false,,,,,,,,,,,,,,,,,,,,205,344,116
477715422767091712,https://twitter.com/Cindvia_JKT48/status/477715422767091712,2:33 PM - 14 Jun 2014,false,false,false,,"halohalohai? siangsiang~ selamat ya atas kelulusannya... congratsss! \(^_^)/ hehehe",,,false,,,,,,,,,,,,,,,,,,,,87,304,106
477561087018029056,https://twitter.com/Cindvia_JKT48/status/477561087018029056,4:20 AM - 14 Jun 2014,false,false,false,,"pagi... aku uda bangun kokkk hahahah :3 ayo bangunnn bangunn! ^^",,,false,,,,,,,,,,,,,,,,,,,,345,348,140
477510152434642944,https://twitter.com/Cindvia_JKT48/status/477510152434642944,12:57 AM - 14 Jun 2014,false,false,false,,"hai? udah bobo yaaa? waaa kalau uda bobo berarti ga bandell dong :p hayoo semuanya jangan bandell yaa ^^ bobo bobo! selamat bobo >.<",,,false,,,,,,,,,,,,,,,,,,,,252,231,107
477494763407429632,https://twitter.com/Cindvia_JKT48/status/477494763407429632,11:56 PM - 13 Jun 2014,false,false,false,,"nah tanggal 16 ada yang special lohhh :3 ayoo datang yaaaaa ^_^",,,false,,,,,,,,,,,,,,,,,,,,106,185,82
477494593013821440,https://twitter.com/Cindvia_JKT48/status/477494593013821440,11:55 PM - 13 Jun 2014,false,false,false,,"ohya, thanks for today >< maaf kalau kurang memuaskan, aku akan terus berjuang kok >_< boku wa ganbaru! hahahah ^_^",,,false,,,,,,,,,,,,,,,,,,,,60,198,83
477494141496991744,https://twitter.com/Cindvia_JKT48/status/477494141496991744,11:54 PM - 13 Jun 2014,false,false,false,,"yeay!! akhirnya bisa ngemil  @yupiers  Juicy Gummy~ enak enak :9 apalagi yang rasa tobeli ya :p udah coba belum? >_<",,"yupiers",false,,,1,"https://pbs.twimg.com/media/BqBmZEHCQAE55j5.jpg","https://pbs.twimg.com/media/BqBmZEHCQAE55j5.jpg",,,,,,,,,,,,,,,314,465,347
477336761014558720,https://twitter.com/Cindvia_JKT48/status/477336761014558720,1:28 PM - 13 Jun 2014,false,false,false,,"udah liat foto aku tanpa poni belum? :p ",,,false,,,,,,,,,,,,,,,,,,,,136,262,122
477325430525947907,https://twitter.com/Cindvia_JKT48/status/477325430525947907,12:43 PM - 13 Jun 2014,false,false,true,"Vanka_JKT48","@Vanka_JKT48  iya gapapa kok :p aku juga sering (?) ehhh :p  #janganlupaMAM  :3","#janganlupaMAM","Vanka_JKT48",false,,,,,,,,,,,,,,,,,,,,35,102,57
477317157173198849,https://twitter.com/Cindvia_JKT48/status/477317157173198849,12:10 PM - 13 Jun 2014,false,false,false,,"hari ini aku theater seishun girls yaa ^_^ ada penjualan tiket 1st anniv jugaaa :3 hehehe... see you~~",,,false,,,,,,,,,,,,,,,,,,,,68,206,94
477316859037880320,https://twitter.com/Cindvia_JKT48/status/477316859037880320,12:09 PM - 13 Jun 2014,false,false,false,,"siangsiangsiang ^.^ happy fridaaaay!! jangan lupa ibadah hari jum'at nya yaaa? hehehe~",,,false,,,,,,,,,,,,,,,,,,,,77,219,85
477133489431523328,https://twitter.com/Cindvia_JKT48/status/477133489431523328,12:01 AM - 13 Jun 2014,false,false,false,,"00.00...... udah lama gak jadi cinderella (?) haha >.< selamat bobooo~ hayoo jangan bandell yaaa :3 sweet dream ._.",,,false,,,,,,,,,,,,,,,,,,,,203,260,90
